MIEJCOWOSC,NAZWA_ULICY,NUMER
Warszawa,ulica Globusowa,5
Warszawa,ulica Globusowa,17
Warszawa,Aleje Jerozolimskie,198S
Warszawa,Aleje Jerozolimskie,198R
Warszawa,Aleje Jerozolimskie,213
Warszawa,Aleje Jerozolimskie,212
Warszawa,Aleje Jerozolimskie,178A
Warszawa,Aleje Jerozolimskie,212A
Warszawa,Aleje Jerozolimskie,184B
Warszawa,ulica Fraszki,16
Warszawa,ulica Fraszki,5
Warszawa,ulica Fraszki,11
Warszawa,ulica Fraszki,3
Warszawa,ulica Fraszki,2
Warszawa,ulica Fraszki,9
Warszawa,ulica Fraszki,29
Warszawa,ulica Fraszki,14
Warszawa,ulica Fraszki,12A
Warszawa,Aleje Jerozolimskie,184A
Warszawa,Aleje Jerozolimskie,217
Warszawa,Aleje Jerozolimskie,195A
Warszawa,Aleje Jerozolimskie,216
Warszawa,Aleje Jerozolimskie,214
Warszawa,Aleje Jerozolimskie,178
Warszawa,Aleje Jerozolimskie,192G
Warszawa,Aleje Jerozolimskie,198P
Warszawa,Aleje Jerozolimskie,198N
Warszawa,Aleje Jerozolimskie,198M
Warszawa,Aleje Jerozolimskie,198L
Warszawa,Aleje Jerozolimskie,198K
Warszawa,ulica Fraszki,21
Warszawa,ulica Fraszki,19
Warszawa,ulica Fraszki,15
Warszawa,ulica Fraszki,7
Warszawa,ulica Fraszki,21A
Warszawa,ulica Fraszki,20
Warszawa,ulica Globusowa,19
Warszawa,ulica Globusowa,20
Warszawa,ulica Globusowa,42
Warszawa,ulica Globusowa,40
Warszawa,ulica Globusowa,27
Warszawa,ulica Globusowa,16
Warszawa,ulica Globusowa,12
Warszawa,ulica Globusowa,44
Warszawa,ulica Globusowa,7
Warszawa,Aleja Krakowska,51
Warszawa,Aleja Krakowska,62
Warszawa,Aleja Krakowska,231
Warszawa,Aleja Krakowska,129
Warszawa,Aleja Krakowska,127
Warszawa,Aleja Krakowska,157A
Warszawa,Aleja Krakowska,236
Warszawa,Aleja Krakowska,45
Warszawa,Aleja Krakowska,43
Warszawa,ulica Fraszki,12
Warszawa,ulica Fraszki,10
Warszawa,ulica Galaktyki,19
Warszawa,ulica Galaktyki,17
Warszawa,ulica Galaktyki,15
Warszawa,ulica Jakobinów,37
Warszawa,ulica Jakobinów,28
Warszawa,ulica Jamińska,2A
Warszawa,ulica Jamińska,14
Warszawa,ulica Jamińska,12
Warszawa,ulica Jamińska,6A
Warszawa,ulica Janiszowska,13
Warszawa,ulica Janiszowska,21
Warszawa,ulica Janiszowska,11
Warszawa,ulica Janiszowska,9A
Warszawa,ulica Janiszowska,9
Warszawa,ulica Janiszowska,3
Warszawa,ulica Janiszowska,10A
Warszawa,ulica Janiszowska,4A
Warszawa,ulica Janiszowska,19A
Warszawa,ulica Janiszowska,28
Warszawa,ulica Janiszowska,24
Warszawa,ulica Janiszowska,19
Warszawa,ulica Janiszowska,10
Warszawa,ulica Janiszowska,17A
Warszawa,ulica Janiszowska,14
Warszawa,ulica Janiszowska,29A
Warszawa,ulica Janiszowska,29
Warszawa,ulica Kleszczowa,3
Warszawa,ulica Kleszczowa,43
Warszawa,ulica Kleszczowa,5A
Warszawa,ulica Kleszczowa,41B
Warszawa,ulica Kleszczowa,5
Warszawa,ulica Kleszczowa,37A
Warszawa,ulica Kleszczowa,15
Warszawa,ulica Kleszczowa,17E
Warszawa,ulica Kleszczowa,27
Warszawa,ulica Kleszczowa,7
Warszawa,ulica Kleszczowa,17
Warszawa,ulica Kleszczowa,8A
Warszawa,ulica Kleszczowa,8
Warszawa,ulica Kleszczowa,6C
Warszawa,ulica Kleszczowa,29
Warszawa,ulica Kleszczowa,17C
Warszawa,ulica Kleszczowa,4
Warszawa,ulica Kleszczowa,13
Warszawa,ulica Kleszczowa,6
Warszawa,ulica Kleszczowa,19
Warszawa,ulica Kleszczowa,14
Warszawa,ulica Kleszczowa,31
Warszawa,ulica Kleszczowa,33
Warszawa,Aleja Krakowska,193
Warszawa,Aleja Krakowska,255
Warszawa,Aleja Krakowska,131A
Warszawa,Aleja Krakowska,187
Warszawa,Aleja Krakowska,93
Warszawa,Aleja Krakowska,149
Warszawa,Aleja Krakowska,115A
Warszawa,Aleja Krakowska,115
Warszawa,Aleja Krakowska,257
Warszawa,Aleja Krakowska,214
Warszawa,Aleja Krakowska,145
Warszawa,Aleja Krakowska,25
Warszawa,ulica Kleszczowa,29A
Warszawa,ulica Kleszczowa,11
Warszawa,ulica Kleszczowa,2
Warszawa,ulica Kleszczowa,22
Warszawa,ulica Kleszczowa,1A
Warszawa,ulica Kleszczowa,39
Warszawa,ulica Kleszczowa,17D
Warszawa,ulica Kleszczowa,16
Warszawa,ulica Kleszczowa,14A
Warszawa,Aleja Krakowska,40
Warszawa,ulica Galaktyki,13
Warszawa,ulica Galaktyki,11
Warszawa,ulica Galaktyki,9
Warszawa,ulica Galaktyki,7
Warszawa,ulica Galaktyki,5
Warszawa,ulica Galaktyki,23
Warszawa,ulica Galaktyki,1
Warszawa,ulica Galaktyki,3
Warszawa,ulica Galaktyki,31
Warszawa,ulica Galaktyki,29
Warszawa,ulica Galaktyki,27
Warszawa,ulica Galaktyki,25
Warszawa,ulica Galaktyki,21
Warszawa,ulica Geologiczna,11
Warszawa,ulica Geologiczna,18
Warszawa,ulica Geologiczna,4
Warszawa,ulica Geologiczna,10
Warszawa,ulica Geologiczna,12A
Warszawa,ulica Geologiczna,3
Warszawa,ulica Geologiczna,1
Warszawa,ulica Geologiczna,20
Warszawa,ulica Geologiczna,16
Warszawa,ulica Geologiczna,15
Warszawa,ulica Janiszowska,9B
Warszawa,ulica Janiszowska,8
Warszawa,ulica Janiszowska,6
Warszawa,ulica Janiszowska,4
Warszawa,ulica Janiszowska,17
Warszawa,ulica Janiszowska,31
Warszawa,ulica Janiszowska,30
Warszawa,ulica Janiszowska,16
Warszawa,ulica Janiszowska,12
Warszawa,ulica Janiszowska,23A
Warszawa,ulica Janiszowska,33
Warszawa,ulica Janiszowska,15
Warszawa,ulica Janiszowska,13A
Warszawa,ulica Janiszowska,22
Warszawa,ulica Janiszowska,18
Warszawa,ulica Janiszowska,25
Warszawa,ulica Janiszowska,23
Warszawa,ulica Janiszowska,35
Warszawa,ulica Janiszowska,27A
Warszawa,ulica Janiszowska,27
Warszawa,ulica Janiszowska,28A
Warszawa,ulica Janiszowska,12A
Warszawa,ulica Janiszowska,5
Warszawa,ulica Kleszczowa,31A
Warszawa,ulica Kleszczowa,41
Warszawa,ulica Kleszczowa,2A
Warszawa,ulica Kleszczowa,24
Warszawa,ulica Kleszczowa,26
Warszawa,ulica Kleszczowa,18
Warszawa,ulica Kleszczowa,21A
Warszawa,ulica Jantar,3
Warszawa,ulica Jantar,32
Warszawa,ulica Jantar,28
Warszawa,ulica Jantar,28A
Warszawa,ulica Jantar,4
Warszawa,ulica Jantar,21
Warszawa,ulica Jantar,20
Warszawa,ulica Jantar,7
Warszawa,ulica Jantar,13
Warszawa,ulica Kleszczowa,28
Warszawa,ulica Kleszczowa,9
Warszawa,ulica Kleszczowa,3A
Warszawa,ulica Kleszczowa,26B
Warszawa,ulica Kleszczowa,1B
Warszawa,ulica Kleszczowa,17B
Warszawa,ulica Kleszczowa,41A
Warszawa,Aleja Krakowska,39
Warszawa,Aleja Krakowska,38
Warszawa,Aleja Krakowska,22
Warszawa,Aleja Krakowska,19
Warszawa,Aleja Krakowska,14
Warszawa,Aleja Krakowska,216
Warszawa,Aleja Krakowska,123
Warszawa,Aleja Krakowska,271
Warszawa,Aleja Krakowska,2A
Warszawa,Aleja Krakowska,269
Warszawa,Aleja Krakowska,131
Warszawa,Aleja Krakowska,226
Warszawa,Aleja Krakowska,10
Warszawa,Aleja Krakowska,289
Warszawa,Aleja Krakowska,81
Warszawa,Aleja Krakowska,75
Warszawa,Aleja Krakowska,48/52
Warszawa,Aleja Krakowska,91
Warszawa,Aleja Krakowska,218
Warszawa,Aleja Krakowska,215
Warszawa,Aleja Krakowska,217
Warszawa,Aleja Krakowska,212
Warszawa,ulica Geologiczna,9
Warszawa,ulica Geologiczna,12
Warszawa,ulica Geologiczna,8A
Warszawa,ulica Geologiczna,7A
Warszawa,ulica Geologiczna,7
Warszawa,ulica Geologiczna,5A
Warszawa,ulica Geologiczna,5
Warszawa,ulica Geologiczna,13
Warszawa,ulica Bolesława Gidzińskiego,5A
Warszawa,ulica Bolesława Gidzińskiego,43
Warszawa,ulica Bolesława Gidzińskiego,8A
Warszawa,ulica Bolesława Gidzińskiego,23
Warszawa,ulica Bolesława Gidzińskiego,15
Warszawa,ulica Bolesława Gidzińskiego,2
Warszawa,ulica Bolesława Gidzińskiego,4
Warszawa,ulica Bolesława Gidzińskiego,6
Warszawa,ulica Bolesława Gidzińskiego,8
Warszawa,ulica Bolesława Gidzińskiego,10
Warszawa,ulica Bolesława Gidzińskiego,20
Warszawa,ulica Bolesława Gidzińskiego,22
Warszawa,ulica Bolesława Gidzińskiego,24
Warszawa,ulica Janka Muzykanta,4
Warszawa,ulica Janka Muzykanta,5
Warszawa,ulica Janka Muzykanta,1B
Warszawa,ulica Janka Muzykanta,1A
Warszawa,ulica Janka Muzykanta,1
Warszawa,ulica Janka Muzykanta,19
Warszawa,ulica Janka Muzykanta,60
Warszawa,ulica Janka Muzykanta,3
Warszawa,ulica Janka Muzykanta,6
Warszawa,ulica Jantar,17
Warszawa,ulica Jantar,19
Warszawa,ulica Jantar,8
Warszawa,ulica Jantar,14
Warszawa,ulica Bolesława Gidzińskiego,40
Warszawa,ulica Bolesława Gidzińskiego,40A
Warszawa,ulica Bolesława Gidzińskiego,42
Warszawa,ulica Bolesława Gidzińskiego,46
Warszawa,ulica Bolesława Gidzińskiego,39
Warszawa,ulica Bolesława Gidzińskiego,33
Warszawa,ulica Bolesława Gidzińskiego,31
Warszawa,ulica Bolesława Gidzińskiego,29
Warszawa,ulica Bolesława Gidzińskiego,27A
Warszawa,ulica Jantar,10
Warszawa,ulica Jantar,23
Warszawa,ulica Kleszczowa,41C
Warszawa,ulica Kleszczowa,41D
Warszawa,ulica Kleszczowa,41E
Warszawa,ulica Kleszczowa,6D
Warszawa,ulica Kleszczowa,17A
Warszawa,ulica Klinkierowa,10
Warszawa,ulica Klinkierowa,4
Warszawa,ulica Klinkierowa,8
Warszawa,ulica Klinkierowa,6
Warszawa,ulica Klinkierowa,2
Warszawa,ulica Klinkierowa,1
Warszawa,ulica Klinkierowa,5
Warszawa,ulica Klinkierowa,3
Warszawa,ulica Klinkierowa,12
Warszawa,ulica Klinowa,4
Warszawa,ulica Klinowa,3
Warszawa,ulica Klinowa,5
Warszawa,ulica Kolneńska,8
Warszawa,ulica Kolneńska,6
Warszawa,ulica Kolneńska,6C
Warszawa,ulica Kolneńska,12
Warszawa,ulica Kolneńska,4
Warszawa,ulica Kolneńska,10
Warszawa,ulica Kolneńska,21
Warszawa,Aleja Krakowska,208
Warszawa,Aleja Krakowska,206
Warszawa,Aleja Krakowska,2
Warszawa,Aleja Krakowska,177
Warszawa,Aleja Krakowska,175
Warszawa,Aleja Krakowska,173
Warszawa,Aleja Krakowska,17
Warszawa,Aleja Krakowska,16A
Warszawa,Aleja Krakowska,16
Warszawa,Aleja Krakowska,16B
Warszawa,Aleja Krakowska,157
Warszawa,Aleja Krakowska,155
Warszawa,Aleja Krakowska,15
Warszawa,Aleja Krakowska,107
Warszawa,Aleja Krakowska,41A
Warszawa,Aleja Krakowska,4/6
Warszawa,Aleja Krakowska,240/242
Warszawa,Aleja Krakowska,222
Warszawa,Aleja Krakowska,103
Warszawa,Aleja Krakowska,121
Warszawa,Aleja Krakowska,113A
Warszawa,Aleja Krakowska,110/114
Warszawa,ulica Bolesława Gidzińskiego,24A
Warszawa,ulica Bolesława Gidzińskiego,26
Warszawa,ulica Bolesława Gidzińskiego,28
Warszawa,ulica Bolesława Gidzińskiego,34
Warszawa,ulica Bolesława Gidzińskiego,36
Warszawa,ulica Bolesława Gidzińskiego,38
Warszawa,ulica Józefa Ignacego Kraszewskiego,13
Warszawa,ulica Józefa Ignacego Kraszewskiego,54
Warszawa,ulica Józefa Ignacego Kraszewskiego,2
Warszawa,ulica Józefa Ignacego Kraszewskiego,51
Warszawa,ulica Józefa Ignacego Kraszewskiego,45
Warszawa,ulica Józefa Ignacego Kraszewskiego,5
Warszawa,ulica Józefa Ignacego Kraszewskiego,19
Warszawa,ulica Józefa Ignacego Kraszewskiego,39
Warszawa,ulica Józefa Ignacego Kraszewskiego,25
Warszawa,ulica Bolesława Gidzińskiego,27
Warszawa,ulica Bolesława Gidzińskiego,25
Warszawa,ulica Bolesława Gidzińskiego,21
Warszawa,ulica Bolesława Gidzińskiego,19
Warszawa,ulica Bolesława Gidzińskiego,17
Warszawa,ulica Bolesława Gidzińskiego,9
Warszawa,ulica Jantar,18
Warszawa,ulica Jantar,26
Warszawa,ulica Jantar,22
Warszawa,ulica Jantar,6
Warszawa,ulica Jantar,5
Warszawa,ulica Jantar,30
Warszawa,ulica Jantar,2
Warszawa,ulica Jantar,15
